Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL
2015-06-10,144.45217895507812,44.53563690185547,58.50220108032226,63.0,89.38557434082031,24.81198310852051,79.55999755859375,2.3199999332427983,159.18020629882812,11.257953643798828,220.3695526123047,26.78343391418457,38.959815979003906,120.11331939697266,74.61000061035156,56.96532821655274,57.43914031982422,79.73180389404297,169.8800048828125,62.52000045776367,59.61908721923828,290.79443359375,292.200439453125,24.553211212158203,62.3145751953125
2015-06-11,145.19691467285156,45.04986572265625,58.33073806762695,63.43999862670898,89.75601196289062,24.617380142211914,79.6500015258789,2.3199999332427983,159.43846130371094,11.42699146270752,220.65501403808597,26.98477554321289,38.96942138671875,120.32731628417969,74.05000305175781,57.95912551879883,57.71146011352539,81.15355682373047,168.77000427246094,62.959999084472656,59.64811706542969,291.4024658203125,293.097412109375,24.870492935180664,62.854736328125
2015-06-12,143.5438690185547,44.69173812866211,57.482017517089844,63.6500015258789,88.99661254882812,24.714683532714844,79.86000061035156,2.309999942779541,160.1138458251953,11.283308029174805,218.1939849853516,26.80485343933105,38.30599212646485,119.29850769042969,73.44000244140625,59.53420639038086,56.4000473022461,80.54424285888672,169.0399932861328,63.02000045776367,59.21201705932617,288.56488037109375,293.994384765625,24.587055206298828,62.74296951293945
2015-06-15,141.57290649414062,44.14079284667969,57.36199951171875,65.01999664306639,88.70954132080078,23.877887725830078,78.9000015258789,2.3199999332427983,157.24351501464844,11.359374046325685,217.78054809570312,26.58208465576172,37.99831008911133,118.62360382080078,72.5,58.746665954589844,54.64521408081055,80.55306243896484,173.22000122070312,63.22000122070313,58.97943496704102,290.852294921875,291.95672607421875,24.48129463195801,62.09103775024414
2015-06-16,142.1360626220703,44.51726913452149,57.24196243286133,65.70999908447266,89.5522689819336,24.072490692138672,79.94000244140625,2.3499999046325684,157.96853637695312,11.477701187133787,220.3301696777344,26.75344467163086,38.25791931152344,119.92401885986328,72.8499984741211,58.39039993286133,54.701820373535156,81.09173583984375,177.13999938964844,64.29000091552734,58.737159729003906,287.6382751464844,289.9678649902344,24.65473937988281,62.70572280883789
2015-06-17,142.55386352539062,44.599910736083984,58.09926986694336,65.65000152587889,89.76526641845703,24.198984146118164,77.91000366210938,2.470000028610229,157.96852111816406,11.5537691116333,219.828125,26.76200866699219,38.07522583007813,120.30260467529295,72.80999755859375,58.156005859375,55.14524459838867,81.8600082397461,179.80999755859375,62.290000915527344,59.27985763549805,288.3814697265625,290.2408142089844,24.78588104248047,62.56602096557617
2015-06-18,144.9789581298828,45.8579330444336,59.13660430908203,67.16000366210939,90.1171875,24.46169853210449,79.38999938964844,2.5199999809265137,159.22044372558594,11.705904960632324,221.53114318847656,27.027618408203125,38.363685607910156,120.9363250732422,73.2699966430664,59.99361038208008,56.267967224121094,82.38983154296875,184.00999450683597,62.1500015258789,59.51243591308594,291.93328857421875,293.7214050292969,25.1412353515625,63.65567398071289
2015-06-19,144.3704071044922,45.81201934814453,59.56525421142578,67.73000335693361,89.84861755371094,24.335206985473636,79.69999694824219,2.5799999237060547,159.46878051757812,11.705904960632324,221.6197509765625,26.80056953430176,37.9694709777832,119.47956848144531,72.29000091552734,60.61238098144531,55.2867660522461,82.32801818847656,184.3999938964844,63.2400016784668,59.76440811157226,291.8367614746094,295.12530517578125,25.0185546875,61.88616180419922
2015-06-22,145.033447265625,45.9405746459961,60.113929748535156,68.36000061035156,91.30256652832031,24.54926872253418,82.27999877929688,2.619999885559082,162.2110595703125,11.781970024108887,224.34654235839844,26.91623497009277,38.27714538574219,120.03921508789062,73.01000213623047,62.08433151245117,55.673583984375,81.68340301513672,188.2400054931641,63.31000137329102,60.16173934936523,296.5467529296875,297.84539794921875,24.9804801940918,61.72783660888672
2015-06-23,145.17877197265625,45.80284118652344,60.02820205688477,67.40000152587889,90.98770904541016,24.73414421081543,83.55000305175781,2.609999895095825,162.83702087402344,11.587575912475586,224.36622619628903,26.92480087280273,38.07522583007813,119.23265838623048,72.2300033569336,62.3655891418457,55.62641143798828,80.90629577636719,190.9199981689453,62.97999954223633,60.16173934936523,301.440185546875,296.5584716796875,24.587055206298828,61.80234146118164
2015-06-24,143.0897674560547,45.45389938354492,59.34236145019531,66.65000152587889,90.54318237304688,24.753604888916016,83.4000015258789,2.619999885559082,162.3700408935547,11.528414726257324,222.8896331787109,26.76629638671875,38.64251327514648,118.28618621826172,71.33000183105469,62.06557083129883,54.38103866577149,79.64350891113281,184.97999572753903,61.11999893188477,60.132667541503906,297.90765380859375,295.7882995605469,24.400920867919922,61.42050170898438
2015-06-25,141.61834716796875,45.29779815673828,59.85673904418945,66.05000305175781,92.12679290771484,24.714683532714844,83.94000244140625,2.5799999237060547,163.14503479003906,11.435442924499512,222.36790466308597,27.13471794128418,38.507904052734375,117.55364227294922,71.37000274658203,61.34367370605469,54.97542572021485,78.52201843261719,185.8999938964844,61.56999969482422,59.82254028320313,298.3805847167969,296.3537292480469,24.26977157592773,60.56367111206055
2015-06-26,142.6810302734375,45.88547897338867,60.40540313720703,66.75,91.68226623535156,24.364398956298828,82.73999786376953,2.470000028610229,163.2245330810547,11.376280784606935,223.2243194580078,27.28465843200684,38.575382232666016,116.93638610839844,71.12999725341797,60.706138610839844,55.75849533081055,78.9852294921875,184.4499969482422,62.63000106811523,59.72563934326172,295.91937255859375,295.35931396484375,24.468603134155273,61.30874252319336
2015-06-29,139.82904052734378,45.00395202636719,57.59346389770508,65.33000183105469,89.53374481201172,23.829235076904297,81.27999877929688,2.3399999141693115,157.9088897705078,11.122719764709473,215.8511047363281,26.320764541625977,37.34159469604492,113.56226348876952,69.18000030517578,59.87172317504883,53.06020736694336,77.80049896240234,177.75999450683594,61.6500015258789,58.04909896850586,288.8254699707031,284.1474609375,24.341693878173828,60.23772048950195
2015-06-30,140.14694213867188,45.0682373046875,57.6020393371582,65.73000335693361,89.6263656616211,23.55678939819336,81.01000213623047,2.400000095367432,158.26661682128906,11.207240104675293,215.1915435791016,26.646343231201172,37.18736267089844,113.31380462646484,69.81999969482422,60.4061279296875,52.1450424194336,77.90737915039062,180.7700042724609,62.709999084472656,58.28168869018555,292.8887634277344,284.6251525878906,24.4178409576416,60.4146842956543
2015-07-01,141.3730926513672,45.47227096557617,58.73367309570313,66.16000366210939,90.81173706054688,24.062759399414066,80.94000244140625,2.4200000762939453,161.60499572753906,11.148075103759766,216.6386260986328,26.744874954223636,37.84281539916992,114.7133560180664,70.37000274658203,60.28425598144531,51.380836486816406,79.19010162353516,183.8600006103516,63.22000122070313,58.349525451660156,296.2185974121094,285.5221252441406,24.591289520263672,60.99208450317383
2015-07-02,141.12786865234375,45.371253967285156,58.47649002075195,65.20999908447266,90.13570404052734,23.96545791625977,80.75,2.5299999713897705,161.06845092773438,11.241048812866213,215.8314208984375,26.54352951049805,38.15126419067383,113.76927185058594,69.91000366210939,60.94990158081055,51.918617248535156,79.15447998046875,185.22000122070312,63.290000915527344,57.92311096191406,296.7976989746094,288.3104248046875,24.96356010437012,60.52642440795898
2015-07-06,140.8553924560547,45.67428970336914,58.48505783081055,65.69999694824219,90.14495849609376,24.15032958984375,80.5,2.470000028610229,162.3700408935547,11.156529426574707,212.3860015869141,26.38074111938477,37.93920135498047,112.7175521850586,69.76000213623047,62.02809143066406,51.18272018432617,79.93834686279297,186.2400054931641,62.5,57.71960067749024,296.01593017578125,288.4859313964844,25.001636505126953,60.358787536621094
2015-07-07,141.17327880859375,46.10586547851562,58.77655029296875,65.68000030517578,91.38591766357422,24.374126434326172,80.58999633789062,2.0899999141693115,162.47933959960938,11.190337181091307,212.28753662109372,26.46213722229004,38.35368728637695,113.38834381103516,70.11000061035156,63.2281379699707,51.18272018432617,81.06964111328125,187.3300018310547,63.5,57.80681991577149,296.3054504394531,291.46923828125,25.71233940124512,61.22491836547852
2015-07-08,138.70278930664062,45.22433090209961,58.004966735839844,64.38999938964844,90.40428161621094,24.1308708190918,79.98999786376953,2.009999990463257,158.9621124267578,10.911423683166504,205.5443572998047,25.90093231201172,37.35122680664063,110.1337890625,68.86000061035156,61.99059295654297,50.069419860839844,81.04292297363281,184.66000366210938,62.7400016784668,56.67298126220703,289.2308349609375,286.331298828125,25.555816650390625,60.46124267578125
2015-07-09,139.64739990234378,45.16924285888672,58.27072525024414,65.72000122070311,90.524658203125,24.451967239379886,80.47000122070312,1.9800000190734863,161.02874755859375,10.995941162109377,207.3458251953125,25.98661231994629,37.51508331298828,109.52922058105469,69.30000305175781,62.38435745239258,50.41851043701172,80.24122619628906,188.16000366210938,62.20000076293945,57.36103057861328,293.50653076171875,288.0375061035156,25.20892143249512,60.9175910949707
2015-07-10,140.73728942871094,45.84875106811523,59.35092163085938,68.04000091552734,91.47853088378906,24.675762176513672,80.58999633789062,1.9600000381469729,163.05564880371094,11.072009086608887,210.4860992431641,26.436431884765625,37.977760314941406,112.56851196289062,69.98000335693361,66.1439208984375,50.946861267089844,80.74895477294922,192.52999877929688,62.93999862670898,58.40766525268555,301.2567443847656,294.3648681640625,25.420448303222656,61.644020080566406
2015-07-13,142.1178741455078,45.87643051147461,60.08505249023438,67.91000366210939,93.1176986694336,25.19146156311035,81.44000244140625,1.9600000381469729,168.2222137451172,11.029749870300293,213.14401245117188,26.31219291687012,38.51754760742188,113.03225708007812,71.66999816894531,67.73773193359375,52.24882507324219,80.93605041503906,199.1100006103516,63.61000061035156,59.10541915893555,307.2601013183594,296.5389709472656,25.4965934753418,62.63122177124024
2015-07-14,142.39944458007812,46.31932830810547,60.28369522094727,69.01999664306639,93.29364013671876,25.35687255859375,81.88999938964844,2.049999952316284,166.13568115234375,11.088912963867188,213.28179931640625,26.30791282653809,39.028419494628906,113.61193084716795,72.29000091552734,69.02218627929689,52.20165634155274,81.31013488769531,205.0,64.30999755859375,59.61904907226562,309.9432678222656,297.26043701171875,25.509281158447266,62.94786071777344
2015-07-15,141.69100952148438,45.49813461303711,60.24050903320313,67.55000305175781,92.56204223632812,25.0747013092041,82.12000274658203,1.9600000381469729,167.38758850097656,11.13962459564209,213.3507232666016,26.47069931030273,38.6814079284668,113.86865997314452,72.05999755859375,69.11593627929689,51.20159149169922,81.4883041381836,203.8000030517578,64.62999725341797,59.00850296020508,308.9781188964844,292.512451171875,25.55158805847168,63.38558578491211
2015-07-16,142.753662109375,45.92257308959961,60.44778823852539,68.83999633789061,93.95116424560548,25.152544021606445,82.5199966430664,1.870000004768372,168.27188110351562,11.283308029174805,216.55987548828125,26.65490913391113,38.88382339477539,113.51256561279295,72.62999725341797,70.02536773681639,51.34309768676758,82.3167495727539,204.25999450683597,65.37000274658203,59.37676239013672,306.3142395019531,294.579345703125,25.94924545288086,63.31108093261719
